tweet,sentiment
awww  I`ll let you off - but you`d better be there for my next 30th! XD,positive
YoYo door nazis refused me entry on account of no ID  gutted! Heard it was a good night tho.. Next time I`ll come prepared!,neutral
babe u aint been reading my tweets- my phone has fallen apart. My new on comes nxt wk. The track ball keeps fallin out my phone,neutral
hhahaa!    its well strange just woke up to an empty house ahah  lolllllyyyyyyyy<3 love that dog,neutral
_s make me tea pleaseeeeeeeeeee,neutral
classes. n bout to make sum breakfast..,neutral
oh dear.. u serious? so how does one prevent bites??  I`m so itchy its distracting while editing.. *sigh*,negative
Sports car + curb = flat tire.,neutral
i think i just good stood up...,positive
hook up with Rian van Staden on Twitter. He is a (much) better cook and may have some more concrete suggestions,positive
has just discovered a great site!,positive
Oohh Yaay like it !  ?    Love ya,positive
DotA is an addiction...i waste 6-7 hours playing dota,negative
Yeah. It totally sucks.  I hate not being able to breathe! Thanks for the ff!,neutral
How long before the Frisbee Golfer 'accidentally' catches one in the back of the head from his friend,negative
_Lhoste Thanks you so much for following me on Twitter; I hope you find it as exciting as I do! Looking forward to your tweets!,positive
hi guys just doing da usael notmuch really! <3 sad me,negative
While im stuck INSIDE in Elk Grove Village working all day   Someone should enjoy it!,neutral
Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy,positive
That was nice. I Just ordered my mom her gift from me and my sister.   Something different and unexpected.,positive
Don`t follow your dreams; chase them.- Richard Dumb (who I think is very smart,positive
Up is out?  I didn`t get the memo   It looks amazing.,positive
yeah twitter is a lot of fun babe... especially when you`ve got ppl to talk to! lol & that sounds Goooooood lol,positive
tonight was hilariouss  i loveeee everyone that was theree,positive
thank YOU!! You guys did awesome things for my blog tonight  so grateful!!,positive
Call me when you have time and a good phone  I wanna catch up with you! I love you and miss you.,neutral
has heart burn,negative
@_TWEE haha thanks to you that`s my new word for the week! ****,positive
Happy Mom`s day to your moms !,positive
_Guy Would luv to hear music too but iï¿½m out of batteries - the tv plays besides but i think this is some kind of vampire movie,positive
Just touched down in Changi. +1/2 hrs to kill before heading to Penang.  Must fly singapore air more often!,neutral
wow i have no friends on twitter,neutral
Washing The Dishes :S iTs So hard 2 be Me,negative
my friend sent u call bck messages. i dunno if you could reply but she has no credit thts all.,neutral
I had mint ice-cream for dessert tonight. Love the stuff!,positive
watching snl with my ucsd girls and laughing about twitter/blackberry jokes  thought i`d tweet that.,positive
Drink #2: And at 12:45pm when leaving the shops I had a Medium Light Coffee Frappuccino. Nom nom nom,neutral
Depends on what they want for it....I`ve become poor again,negative
uploading pictures on myspace,neutral
i think both ?s related to size depend on structures and system: hard to relay in tweet but worth blogging..good questions this am,positive
Almost to grandmas now. No internet there. I will never catch up on twitter.,negative
Is having awesome fruits and vegetable juice at the opening of Lam`s noodles at 8  http://tinyurl.com/r65c68,positive
LoL Clever I`m Extremely Jealous Of The Amount Of Followers You Have  I Only Have 24,neutral
okie gonna tweet more because i am loosing you guys or girls,negative
Packing up and leaving inlaws house heading home sweet home... Had a nice weekend and back to work in a few hours,positive
HAPPY MOMMA`s DAY ALL. HONOR YOUR MOMs  sign up for #maternalhealth  here`s for all mothers and luvin kids out there:  http://bit.ly/Bpekk,positive
just got back from donating blood,neutral
why am i so tired?,negative
y do i only have 2 people following me  people follow me please x,positive
just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,negative
another purse? Need to see photos.,neutral
Aw. Toy Story 3 is coming out NEXT year.,positive
I`m not leaving yet!,neutral
goooodnight everyone!  and Happy Mothers Day to all the mothers out there.,positive
My whole immediate will be in the same city until some point tomorrow afternoon. This is monumental,positive
What??  Nooooooooo      There goes my weekend!,neutral
Good days with good friends make me not regret living,positive
wats gooood !! miss yall already,negative
OMG I would sooooo make dis show number one n da ratings,positive
Listening to dashboard confessional & counting down the days until the  concert on May 16th with,neutral
its my burfday and i`m all alone,negative
Yes...met Jon last yr at an interesting 'Questionning Agile' Agile 2008 session.  Don`t see him on this yr`s schedule.,positive
aaawww  no worries fresh start to work on growing it out again,positive
Just spent the last two hours playing L4D with babe  Had HELLA fun. I love him <3,positive
nice to have you back,positive
I knew there was a reason I hated cars! 1. Too slow! 2. Too big! 3. I get car sick! 4. Motorbikes are much much much more fun!!,neutral
omg evie. we have to do our plan for hot 30 tomorrow night,neutral
Omg i`m going to robinson with tyler wfm. And i freakin miss anthony  ugh today kinda sucks. Lex<3,negative
my little felted thing looks like an incestuous by- product of two of your lovelies,positive
That is super sad   How is Bart etc holding up?,negative
_ERON Effy breaks my heart.,negative
thanks  lyxxx,positive
I am jealous...Ur koi fish are getting ur attention & I`m not.....lmao   I`m kidding!!,neutral
and this terrible cartoon that`s supposed to be mexican.,negative
Happy Mothers Day!,positive
Happy May Day and Star Wars Day,positive
happy mother`s day!,positive
is wondering what I did to get on the 'do not respond' list,neutral
Jaydiohead 'No Karma' ? http://twt.fm/91610 #musicmonday This is not the android I was looking for. But it`ll do.,neutral
- Sorry only just seen this - how strange it seems only to happen from my iPhone - perhaps it is a problem with Twitterific,negative
Happy birthday!,positive
http://twitpic.com/4wgoi - At bus boys and poets ordering medici and white chocolate banana bread pudding !!,neutral
thanks !!my real name is nadia,positive
BUT THEY ARE EXPENSIVE.,negative
msn-ing. no school  shouldn`t there be more bank holidays? x,positive
_tah oh no.  *hugs*,neutral
Time flies...and i never got it all right. Why oh why?,neutral
so sorry about that  I have the same issues...LOL. My weekend started about an hour ago!!!,negative
you have no interview today?,neutral
is sad that she is not seeing Basshunter at Metroplex this weekend,negative
Date movie with Nate. Most likely Wolverine.,neutral
She is beautiful . But don`t feel badly. Some neaby grans see grandkids about the same amt.   Can`t go to them = out of luck,neutral
o can`t work that one out  pain in the **** them spammers,negative
he wasn`t there today   my free day from when the bell rang and wen it rang at the end was okayy..but after,neutral
aaaaaaaahhhhhhhh I hate the Internet  When will people learn 'native widgets are always best',neutral
watching W. with jas. i love my brother he`s my best friend,positive
**** it. Totally gutted I decided not to go out tonight. Roni Size is DJing,negative
I don`t think I like this Roy Williams who dissects frogs while still alive >  You look like Chachi from Happy Days,negative
he didn`t know there was going to be a test,neutral
i need to get tickets though  idk how that is gonna happen,neutral
Safari 4 beta (OS X) is in a crash loop on startup. Back to non- cookie saving Firefox.,neutral
I am definitely ready... actually ahead of you... I already have a sun tan and I was out at the beach yesterday.,negative
wants TFA back.  http://plurk.com/p/x2rgl,neutral
still on the train goin 2 the southside!,neutral
Zach G. gets an extensive profile in this weekend`s NY Times Magazine. The chances of us falling in love are getting fewer and fewer.,negative
Coffee time  be back later kisses*,neutral
Yeah! Thanks! I`ll be back in soon to see what ya got!,positive
ahhh fusterated,negative
Another HD - my lecturer was gob smacked by how good our presentation was,positive
awesome! All deserved I`m sure. Miss the Crabs games,positive
I am using iMovie 08 and it`s still not bad. I am afraid to hear what is wrong with 09,negative
I wish I could play guitar..... my guitar I got a few christmas`s ago is collecting dust! I need to learn! haha,neutral
but i`m talking to the boy first,neutral
_ENVY how come you dont think you did good?!,neutral
jealous  it looks like schindler`s list in toronto,negative
I`m saying my goodbye to my car for the next 2 weeks  I`m gonna miss it!!  Its going to come back beautiful though!!,neutral
Out with Audrey,neutral
I`m SO jealous! I don`t know when I`ll be able to see Conan.,negative
My wedding next Thursday and I`m ill,negative
Me neither. But it`s no longer about what we want. It`s about fairness. And fairness is whatever government says it is.,neutral
Where are all you Motivated/Determined/wannabe sexy successful young professionals!??! I might really have to join a BNI if there is no1!,positive
lmao yeaa iight n u shuld put tha c.b flick up w. **** on ur head .. juss a joke,positive
im sure jont wont mind sharing,positive
Aw...poor thing.,negative
hahahah of course  they have such a nasty display picture :`),negative
boooo!!! I bet it was a nice wallet too,positive
in math class waiting for lunchhhhhhhh. seniors are done in fifteen minutes,neutral
thanks  scared of dentists.. looks like I am going to have to get over it and go,positive
dad`s been having fever since last nite and needs 2 bottles of blood trasfusion..loaded 1 today..1 to go tomorrow.,negative
who not here be glad!!!!!!! ur sso luckyyyyyyy i hate u r home n r not enduring dis!!!!,neutral
It`s teddy-chucking time,negative
OMJ! The 3rd episode of Jonas is too great! They are so funny. I wish I was the Pizza Girll. Lol <3,positive
Went and saw Fighting last night with the best friend. It wasn`t all that great but Channing Tatum is amazing!,neutral
it makes perfect sense. I guess i am very down to earth. Thanks for your reply,positive
the fact my room is so hot is making me feel sick,negative
my arms hurt!,negative
I can remember those Evidence Based Management lectures...definitely the best of EBM,positive
on my way to work. I`M SO HUNGRY!,negative
starting phase 1 of operation 'be productive'- pack clothes. can`t find pink tank top!! oh no!!!,negative
My throat is on fire,neutral
Miss Cauzinhoooo already,negative
what kind of food Celli? I`m following you now,neutral
OK! Oops sorry,negative
I LLLOOOVVVEEE ICARLY,positive
the suns starting to go in  im getting coldddd!,neutral
On my way to dazzle bar!!,neutral
Going to jog down to uni. Quite a way from my family home but exercise and all that,neutral
_xo  hey chick u alryt u at dads tmoro we sud do sumin aen like last week we neva dun oot this week lol  missed you ha bye hun ****,negative
Glad to see the sun out in Dublin after a great week in London. Back to work,positive
yes not for putting inside anything else,neutral
had an awsome salad! I recommend getting the Spicey buffalo chicken salad!,positive
_Luck13 they are SO cute,positive
haha I tried covering it with make up.. It doesn`t work  lol so wearing a scarf is the way to go.,neutral
what am i gonna do when my iphone is full!,neutral
lost HIATUS noooooooooooooooooo D: back to school tomorow. back in 10TY  (),negative
hope your day gets better soon!!,positive
Thanks for the shoutout,positive
is tired but happy the orphanage was wow.. and babysitting was really fun,neutral
melissa_leah: my car wont start.......,negative
couple days?! Sheeeeit. Wish I were there. Have something at Cafe Claude for me.,neutral
Bushidokan class got canceled.   I`ll just have to sign up for karate someplace else!!,negative
does it work on the iPhone as my MacBook is flat,neutral
maybe one day I can be on your favorite producers list  lol,positive
You know we do!,neutral
wants this summer to actually have some sun in it,neutral
I`d love to!!,positive
Never commute in the rain. The people get so much meaner to you.,negative
The problem is that I`m not finished with it  But I have logged in mass hours this week on it. And i`m not being paid! POP!,negative
what a beautiful morning! nice to be out,positive
FAILlllllllll  whenever ur freee then?,negative
_ray Bright Eyes=Contentment,positive
http://naturalismo.files.wordpress.com/2008/01/elliott10.jpg my hero,neutral
i feel like taking a day off but cannot afford it  looking forward to the dfb cup final tmrw night though. go werder!!!,neutral
My legs are so **** sore. And my feet hurt to walk. Whataday,negative
Were have you been?,neutral
hahah! sadly there is no current activity though in the room,negative
Yeah Yeah Yeahs - Softshock,neutral
We`ll watch & wait & tomorrow I can take anyone who needs to the dr w/o having to take everyone else....N`s cheeks & ears red as my hair,neutral
yeaaa i just got the link off his lj,neutral
noone wants to talk to me  lol,negative
so very irratated,negative
Somebody get me out of work tomorrow.,neutral
i like OGBERRY,positive
Lost at bowling again  why do i suck,negative
? American Pie FOREVER. I`m watching it right now. They`re running naked around on the Streets! Would you do that? I would  [ NOT ],neutral
Hey im a fan from New Zealand. Loving the show even tho we are soooo behind in the episodes! haha. Keep up the good work,positive
crud is all I can say,neutral
going to work till 3...then maybe ride the horses and take my sister to softball pratice,neutral
Nice! You should submit that to failblog.org,positive
has two tickets to Amadou and Miriam for Tue. June 2 that I can`t use  $25 each to anyone who wants `em. That`s face value. Should be good,positive
_zwitschert There`s supposed to be a <3 at the end of my last tweet but I guess twitter ate it,neutral
is going to watch the two davids. yey,positive
hahahaha wtf dianne????? who twitters that lol...i guess it depends who the person is.....,negative
listening to a new Stolen Sheep record,neutral
Home from work. A few hours of sleep then putting some miles on the new bike.,neutral
always excited for a new chapter in my life. just didnt expect it to be so emotional.,negative
in about half a hour i`m going to my english lesson...guess i`ll have to wait...and wait for a couple hours so i`m over with it.(( :S   )),negative
hell yeah! Belgian beer is the bomb!!  :p,positive
http://twitpic.com/4we4j - Speed lessons on the main screens on center court! I had to take this pic,neutral
acsvxdcbgfn soccer now. shall see young phoebe after D: I don`t want her dressed up though,negative
You win ... SIGH Rakeem,positive
live long and prosper,positive
Hey Charicee! How are u? Are you going to come to Italy again? please tell me yes,neutral
mean,neutral
finished proofing the wedding from March .. now just waiting for export and upload before I can share  Still have 2 more sessions to do!,neutral
lol yea im thinkin bday bash ! but everybodys lame wants to sit in the house instead of qo wit me  lol,neutral
waiting for the battery to charge for my new DSLR,neutral
My dad had to bury ours six weeks ago. She became his after I left for college fourteen years ago. Long time to have a kitty.,neutral
you could say that. I left it in VT and have been Blackberryless since Tuesday Night. I`m lost,negative
just got outta work.  ....... Frankie`s house.,neutral
kirk is hotter than spock,neutral
ShoesShoesShoes.YayYayYay.lol.IWouldPostATwitPic.ButIdntKnoHow2,positive
Search for 'Asos coupons' in Google  Plenty to choose from,neutral
'I want you in my mouth and my **** b!tch' mm jeffree rawks,neutral
- Does the 1st show count? That would be the midnight show Thurs night/Fri morning,neutral
Omg I can`t believe jay leno is going off the air,neutral
I`m SO thinking about skippin out to NY in the morning. . . but all of my plans were for tonight  well . . . most of them anyway.,positive
Taking 40 underpriveledged kids to the circus 2moro. BIG day planned & I still aint feeling 100%  so nervous right now..,negative
it might be the swine flu! haha `cause i`ve got the flu,negative
Happy Mothers day to all mums,positive
i can`t studyyyyyyyyyyyyyyyyyyyyyyyyy  i have an exam tom,negative
Is in starbucks,neutral
Oceans 12,neutral
Waking up early to go to the gym,neutral
I think I should hire one of those tranlsators.. because no one ever understands me....,negative
I overslept  headache,negative
Thanks G! My actual birthday is on Tuesday and I will be 24.,positive
happy star wars dayyyy =D and hbd to uncle LEE,positive
bout to go to work,neutral
its so nice.. I LUV KELLY...she`s such an amazing singer  LUV HER,positive
4 more followers.. follow me and I`ll love you!! *pouts* Please?,positive
In Kelantan! Good to be (sort of) home! :pI`m guilt stricken after having that turtle egg.  Really. Won`t do it again. Really.,neutral
Rats the Creative VADO`s are out of stock at walmart.com I`m too late.,negative
weather starting to be better  So just SHINE **,neutral
http://twitpic.com/4bckp - that should answer part of your question,neutral
hope ya sleepin well  guys still here,positive
I wasn`t feeling it,negative
Watching some vintage topgear,neutral
Follow Friday is a bit hard to do when my work kicks in on Fridays,negative
Realizing that I don`t have school today... or tomorrow... or for the next few months.  I really need to get on those job applications!,neutral
WOW.How sweet!,positive
- THANKS ! My motivation is returning at about the rate I`m inputting coffee  !,neutral
oh..keep working on it..you can always make it a little smaller,neutral
Just saw you on TV for the Best Job in the World. Good luck.,positive
Happy Mothers Day!!!  <3,positive
had my last class with Scott and Julie today  going to miss them... they bought me a bottle of champagne as a congratulatory gift.,neutral
_ife not to forget cinnamon!,neutral
might be at cornerstone this year,neutral
sooo glad im home  floridia was fun!! back in ATL. time to sleep....then back up to work!!! constant grind.,positive
I was feeling guilty about buying a luxurious pair of shoes yesterday until my house mate just saw them and got over excited,neutral
it`s like the library equivalent of 'it`s 5 o`clock somewhere.' someone else in on the ref desk somewhere,neutral
The episode was AMAZING...I cried when I saw the home videos they were soooooo cute,positive
I always feel guilty about it,negative
no need to thank  we all just have to keep the good thought!,neutral
ROFLMAO for the funny web portal  =D,positive
i really cant take this.,negative
that would mean me babe! but **** it my name  is SUPER FREAKIN COOL! I give myself a pass! HA!,positive
Its 11:11...make a wish!,positive
SBS 2003 or SBS 2008! Damned if you do and damned if you don`t!  Fun times at GCH!,neutral
net .. net .. net ..  hmm. bad weather .. weird summer!,negative
is now on twitter.....,neutral
ugh I`m not doin too good,negative
She doesn`t believe spending many (many) thousands on a perfect wedding makes a happy couple.....A happy couple makes a perfect wedding,positive
what have you been up to ?,neutral
mmmm lauren conrad eeeeep im going to miss the hills,negative
Ahhhh!!!!!! Almost off!!! Can`t wait!! But..I got work again rite after this!   HAT CLUB Come && gimme some Company! Oh && a Cookie! ;-),neutral
how i wish the result IS true...,neutral
and we`re off  to OT !! exciting game like always,positive
watching Bones with Naty. Have made her a fan! Mission convert Naty: Success...now onto Mission convert Meagan,positive
I don`t have a subject line on my phone...  just normal texts.,neutral
her son is 7 and captured it outside...THANK GOD I HAVE A LITTLE GIRL,positive
and I`m really glad you were able to watch the game,positive
alhamdulilah. i got accepted into nafa,neutral
Girsl night ! on my way to foam party  No sleep tonight !!,neutral
Whom do yu wanna kill ??,negative
I love being able to run my tongue along my teeth,positive
Random has an a,neutral
__marie lol..french toast sticks too!,neutral
going to the memorial for the guy in my grade that died.,neutral
Sob! I can`t believe I`m ending my work week at the chapter about what Augusten Burrough`s father did to Ernie the guinea pig!,negative
Bye ! Have a great time being whisked away,positive
Missed the UPS guy again! Ugh so sad  But i got some cool stuff today that i`m super excited about! And looking forward to tonight too,neutral
lol! Ahhh well its a good song,positive
Actual wiki entry 'The Million Dollar Homepage' made me just shake my head due to the fact that ... sometimes...somtimes things just work,negative
Boring starting work weekend soon................ 1st need to get a Tim Coffee so I can make it through this **** night shift........,negative
i`m awake while others sleep,neutral
cheers for the aptism link,positive
Just drove by fisher and I feel so sad,negative
am bored out of my skull.  i have got to get a job.  this SUCKS.  i need entertainment. /grumbles,negative
Cool...a VERY productive day! I just got a spot as an extra in a feature film that is filming tomorrow  AWESOME week all around!,positive
_Dew tokens haven`t been working for me all day....,negative
_cowan oh cool!  I`m gonna crash and sleep. I have been like 40 some hours working lol,neutral
Me too   haha I did but have no credit,neutral
Epicfail and Joseph in class... Very long liao,negative
i`m freezing in math class!,negative
Be my Yoko Ono and follow me wherever I may go !,neutral
This is what I had to endure to get prizes of to my lucky winners  http://twitpic.com/669nm,negative
I`m likable after all HAHAHAHAHAHAHA! Still over the moon,positive
there`s no point in bein on here if no one else in on,neutral
_Janeway OOC: Goodnight,positive
And who says I wasn`t just muttering to myself?,neutral
Nic has no idea what he`s going to do!  money is all gone!,negative
work all day,neutral
I thought it was pretty good! I`m not a die hard Trekkie either.,positive
TY very much for FF,positive
Enjoy the ride,positive
Unanticipated thunderstorm quashed camping trip,negative
Happy Mother`s Day to all the mothers out there!!,positive
and movies too!!!,neutral
why not united kingdom,neutral
Reading Breaking Dawn,neutral
Omg going to die of swine flu when I go to Melbourne,negative
heeeey good luck for unair sweet!,positive
just come in from the garden. It is very warm out there but beautiful. Didnt do much revision though,positive
life`s good,positive
p.s. There is such thing as having too much sushi! Bleeeeah!,neutral
oh ok. Well good for you...can I get some weather updates instead??  jk.,positive
Rescued two adorable pit mix pups today.  LC and Brody.  Looking to adopt?  E-mail me for more info and pics!,positive
Suddenly I remember all the memories with him  ohhh please,negative
I think my cheap sunglasses are falling apart. Oh well,negative
Slept at my parents the bed was hard as a rock now my back feels like a rock,negative
I ate to much lunch...now I don`t want to work,negative
Is that why your blog is set to private?,neutral
@_Glitter_  kk but 4 sum reason its not lettin me vote 4 them,negative
ugh! **** it. Today doesn`t look like it`s going to work  i`m sorry,negative
Watching the film Real Women Have Curves  Why are good films on in the middle of the night?,neutral
Happy Mother`s Day!,positive
Ugh id better get up for work,neutral
I dont think he`s ganna text me.,neutral
thanks for the raspberry-Laced Vanilla Cake,positive
morning Alex hope you will be tweeting lots today as we do miss you when you aren`t on here  ****,negative
_Divine take my advice lookin through the phone cost me my relationship,positive
Weekends are Great....if you don`t have to work them.,positive
good morning misfit *passes you Tylenol*,positive
YAY to som1 i no on twitter...slowly slowly rest of the grade will come around...hah  i hope ur ready for my constant tweets!!,positive
I think that`s what`s wrong with me.  Stuffed up and when I breathe in it feels like a sore throat,negative
****. it should be recoverable. it`s just the boot part that`s messed up. grr argh. my business was on there.,negative
whats the next movie review going to be? You`re like wossy of brum. Just more controversial,neutral
thank you isay  kamusta ang bulacan historical gimmick at ang gilmore shopping trip?,positive
LAST DAY in St Andrews.. i will spend it on west sands! and then packing,neutral
http://www.bodybuilding.com/fun/richardchan.htm OMFG this dude looks well `ard! He puts me to shame...,negative
oh yeah,neutral
OMG are u still naked 1313 XDD omg i miss you so muuch,negative
has stuff to do but refuses to do them.  :[,negative
rented bikes + unknown trail with random bumps + big hills + kids = one beat up little girl. Not a good day on the B family vacation.,negative
No star replies to me,neutral
oh yeah the grill is out...its bbq tonight at the house,neutral
I do not mean to laugh but a little giggle did come out - sorry,negative
we had bbq chicken pizza last night! (although it wasn`t deep dish   glad to hear you had fun in p.r.!!,neutral
My mind is playing tricks or me!...or could it be? Either way this ish is on my mind heavy and in sleepy,neutral
if someone had`ve told me things would get this hard..i would never have done it,positive
Had a blood test today.   Wasn`t too bad really. Needed to dash 2 Starbucks after to revive my spirits with a nice Iced latte & a bun.Yum!,positive
No one wants to sit with me at lunch  I guess I`ll just bury my head in my laptop and continue to be anti-social.,negative
no its the same,neutral
Hey Mr Luketic! I don`t have your number to send by phone.  You can email me at heathfox.com if that would be ok.,neutral
5 seasons that`s it? Sorry just noticed in ur previous update. My sis isn`t gonna be happy,negative
Just finished Church. Happy Mother`s Day!,positive
watching crimson tide and eating apple sauce.,neutral
vocï¿½ que sumiu forever do msn.,neutral
guess I`ll start getting some of my camping and fishing stuff together for Wed & Thurs trip to Braunig Lake......,neutral
I miss rollerblading down Shoreline.,negative
WORS bike race at camp this weekend=a total of 1500 people. Going anywhere Sunday is not an option as they race right past the house  #fb,neutral
I am probably spamming my follower`s account.,negative
I don`t have enough close contacts on twitter to do follow friday  #followfriday,neutral
I only have 2,neutral
found rollo! and got happy  hmmm.. guess i really do need to be inserted back into the matrix 0_o,positive
working my way through this casualties discography.  have to pull weeds later  ...,neutral
The sight of it made my afternoon,positive
so sad u cancelled silverstone show  better see u in sandown park!,negative
25-man Ulduar is hard...,neutral
this is for   http://tinyurl.com/d8fgxr,neutral
Bonjour Twitterland !,positive
you and  are both baitersss  hope tonight is fun!,positive
Don`t worry. You`ll be 38 soon,negative
Sometimes I could swear I really am insane.,negative
haha IE...it`s expensive!!!! Hm...let me message you later,negative
you got it all done?? even the labs? thats all i have left to do. and i cant figure it out. FML,negative
next year will be sweeet,positive
BWAHAHAHAHA! Shut the **** up...  is TOTES following me right now! Who made the account? Made me giggle like a school girl!,neutral
Byebye,neutral
what? You won`t be two blocks away any more?,neutral
Just try to do your best. I hope you don`t get laid off.,positive
EVERYBODY WELCOME !!!  Hello Nicole ;),positive
I wanna go to the Borgata tonight if Rich is playing.,neutral
_a The rocky kind! With little rockpools & octopi & shells & stuff. Now I want to be at the beach. Its the perfect overcast day.,positive
FINALLY have a working (subbed!) copy of Pika?Nichi.   Heeeee.,neutral
Waiting to go to bed. Had a great weekend,positive
lmao boss ross don`t come on out here  I love that man he was the truth,positive
Never ever smoking around you again.,negative
is at the beach watching Xmen Origins and drinking orange juice with no pulp,neutral
This has been a dismal week.,negative
pmsl ... We had **** everywhere too. But NO More. Love it. My wool stash today though,neutral
Oh no! Hope you find your voice soon,neutral
I don`t feel like having to reboot  If only OSX supported Hibernate & Reboot in Bootcamp... -.-,neutral
My public talk in July got canceled and I don`t know why.,negative
Watching George Lopez. Went to my school and played some basketball. Today was pretty nice. And HOT!,positive
the justice left when DJ Talent was voted off (N),neutral
_peter let`s smoke and watched dazed and confused. that`s a perfect pizza movie too,positive
working until10,neutral
put ad on craigslist/Quebec 4 tan salad plates with bird drawings  can only do 1 area @ time. I still need 3 more. Got 2 at my Tuesday AM,neutral
had  a little family party tonight   hope it rocked,positive
I designed a new shirttttt.,neutral
WHOO HOO. Congrats on getting under 200lbs,positive
Part of an AR-15. Actually the only part of one that qualifies as a gun. You have to be 21 to buy them without parts on them.,neutral
What up ab circle! Anddd It`s still in the box  f work,neutral
I can`t breathe well but turns out I`m not crazy.  Just inflammed lungs,negative
Waiting for Natie to come online I miss him.,negative
btw ian watkins has stopped following me  so i am a wee bit pissed off!,negative
Just ripping here.  That ad buy I was going to speak w/you about looks to be on hold for a bit. Company changed hands. :-/,neutral
: Sir ! Everything Will Be Great InShaa`Allah,positive
Fighting with Nagios configuration.  Great tool but the config is a bit of a labour,positive
this week has dragged a bit for me too  have an essay to write about the seaside then Im seeing eddie izzard tonight x,negative
oh ... you`ve been superseeded?  not good enough,negative
_Lia  Are the drugs working?,neutral
Do you have any idea when the (not so) patient fans will see some teaser pics of you all in costume?,neutral
: Out to dinner for the fam and Grandma for Mother`s Day.,neutral
TY sweetheart,positive
niggas got they eyes on me and i aint talkin bout da BM when i say i got 745 on me,neutral
_carter  Ey boy!! I canï¿½t see the video because youtube says me :The vid is private. Why?  I want to see it. Besos grandes guapo!!,neutral
What a gorgeous day!! And I`m going to be stuck in a lab for the next 9 hours or so,positive
Just woke up. Gonna have a shower and go to Nan`s for Mother`s day lunch. Happy Mother`s day,positive
How is everyone on this fine Monday?   what is everyone`s opinion of the new Wolverine movie?,neutral
headed to the hospital. i can`t take the pain anymore,negative
'The Complete Black Books' just arrived ... looking forward to some entertaining #tv nights!  #dvd,positive
try to play John Travolta`s 'Grease Lightning' bassline.. it`s cool,positive
Link per my daughter  us.mobile.reuters.com/mobile/m/AnyArticle/p.rdt?URL=http://www.reuters.com/article/bigMoney/idUS1284981420090508,neutral
WOOOOOOOOOO   are you coming to Nottingham at any point?  lovelovelove<3,positive
Enjoy! Family trumps everything,positive
Just left you a message! Hope you get it,neutral
Bored out of my mind!  LOL,negative
just finishing studying for LSATs and watching VH1 Soul,neutral
Make sure ur plantin next to the water in the soil,neutral
Bouta donate blood! Ahhhhh!,neutral
Just got back from school! Ugh I don`t want to go to the dance tonight,negative
Yes... today is Star Wars Day!    May the 4th be with you!,positive
I`m going big weekend  cant wait to see u! x,positive
thanks for the props,positive
i cant sleep,negative
Today more sore than surgery day. Glad I took extra sick day.  Full recovery expected after 6 weeks.  Calling lawn service firms today,neutral
is hungryyyyyyy!! going to eat traditional indian food...the pakistani way. woowoo!  hahaha! >[_()\/3,positive
oh my gosh!!! hollyoaks was so sad tonite,negative
Just found a tink cover for a wii remote but the people i know dont have a wii  fail,negative
I`m thinking the 'Chevrolet Doom' would be fitting for GM,positive
Why can`t I make a phone call! I hate this anxiety ****. Someone cure me,negative
You can`t.  My Grandma will probably be on the phone. So get on AIM!,neutral
WiSHiNG ALL THE MOTHERS A HAPPY MOTHER`S DAY,positive
I have to spend lots of  our money on a new boiler...great!!! Not so lucky hey,neutral
Starting my 2nd shift! Im going to miss like an hour of the lakers game!,negative
copy & paste **** **** tosser piss flap a 10000000000 times !!!!,negative
Fuuuuuuuudgeee I burned my finger with oil! It hurts,negative
Friday is not treating me well so far.,negative
Well it`s nice to `see` you. Have a great day and tweet again soon,positive
i mean we mite do sumthn.... what u doin hope i get 2 c u b4 u head bak,neutral
Hi Rob!,neutral
_J We`re in the same boat.,neutral
so tired from school and work. shower than neighboures.,negative
hope yer ok hunny,positive
Yeah it was great to be outside without rain/snow & cold air! Love the sunny days,positive
I wanted to see the story on ACORN tonight on Glen Beck but I missed it,negative
going to EK nao... will meet bloggers there instead of Makati  http://plurk.com/p/stnt0,neutral
I`m pretty sure Isis has a tapeworm.  So she`s allowed to snuggle with me all she wants tonight.,neutral
smH daTs whacK,neutral
I think I may have ruined a friendship this week by getting carried away,negative
thank you.,positive
: aww im sorry honey.  that stinks,negative
Right all strapped in and ready to go   http://twitpic.com/4jloj,neutral
but I don`t want to hurt you,positive
Toris was SO fun! JB MOVIE WAS ABSOLUTELY AMAZING! and i had a good day at work!  YAY i loved the movie! :0,positive
that sucks!!,negative
Let`s continue being productive today,positive
meeting up with strangers. lol. alone in vegas. amazing.,positive
suh-weet! perfect timing.,positive
_Guy Iï¿½m afraid yes - both are true  I hope u r not disappointed yet,negative
Its tomorrow!!!!,neutral
Hence the smiley face.  ha ha ha ha. Lol yeah i`m hong to be tired as **** tomorrow. But guess what i do not care.,neutral
im still melting and im in the house in the shade  its not fair.,negative
right..  making compromises is what kills us!,negative
I love you and Day 26 but that video was questionable... can`t say that I liked it,positive
I feel lazy watching other people work on my roof!  Kat Woman OUT,negative
http://twitpic.com/4jdtj - have a safe journey back home hope you come back soon,positive
RE: Hulu Desktop in Windows 7 Media Center  http://bit.ly/DEc64but not on extenders unfortunately,negative
